Date,Confirmed,Recovered,Deaths,Increase rate
1/22/2020,557,30,17,
1/23/2020,655,32,18,17.59425494
1/24/2020,941,39,26,43.66412214
1/25/2020,1434,42,42,52.39107333
1/26/2020,2118,56,56,47.69874477
1/27/2020,2927,65,82,38.19641171
1/28/2020,5578,108,131,90.57055005
1/29/2020,6167,127,133,10.55934027
1/30/2020,8235,145,171,33.53332252
1/31/2020,9927,225,213,20.54644809
2/1/2020,12038,287,259,21.26523622
2/2/2020,16787,476,362,39.45007476
2/3/2020,19887,627,426,18.46667064
2/4/2020,23898,857,492,20.16895459
2/5/2020,27643,1130,564,15.67076743
2/6/2020,30805,1493,634,11.43870058
2/7/2020,34399,2016,719,11.66693719
2/8/2020,37130,2617,806,7.939184279
2/9/2020,40161,3247,906,8.163210342
2/10/2020,42769,3949,1013,6.493862205
2/11/2020,44811,4684,1113,4.774486193
2/12/2020,45229,5151,1118,0.932806677
2/13/2020,60381,6294,1371,33.50063013
2/14/2020,66909,8061,1523,10.81134794
2/15/2020,69052,9397,1666,3.202857613
2/16/2020,71235,10867,1770,3.161385622
2/17/2020,73270,12587,1868,2.85674177
2/18/2020,75152,14352,2008,2.568581957
2/19/2020,75652,16123,2123,0.665318288
2/20/2020,76212,18181,2248,0.740231587
2/21/2020,76841,18894,2252,0.825329344
2/22/2020,78602,22892,2459,2.291745292
2/23/2020,78982,23397,2470,0.483448258
2/24/2020,79550,25229,2630,0.719151199
2/25/2020,80404,27907,2710,1.073538655
2/26/2020,81381,30388,2771,1.215113676
2/27/2020,82740,33282,2814,1.669922955
2/28/2020,84128,36714,2873,1.677544114
2/29/2020,86022,39785,2943,2.251331305
3/1/2020,88400,42721,2997,2.764409105
3/2/2020,90379,45605,3086,2.238687783
3/3/2020,92980,48227,3160,2.877880924
3/4/2020,95282,51170,3255,2.475801248
3/5/2020,98100,53796,3348,2.957536576
3/6/2020,102016,55864,3461,3.991845056
3/7/2020,106113,58358,3565,4.0160367
3/8/2020,110051,60695,3805,3.711138126
3/9/2020,114232,62495,3995,3.799147668
3/10/2020,119055,64402,4271,4.222109391
3/11/2020,126714,66999,4616,6.433161144
3/12/2020,132513,68328,4925,4.576447748
3/13/2020,146864,70255,5417,10.82988084
3/14/2020,157962,72622,5838,7.556651051
3/15/2020,169241,76031,6488,7.140324888
3/16/2020,184034,78086,7175,8.740789761
3/17/2020,200039,80830,7991,8.696762555
3/18/2020,219586,83317,8909,9.771594539
3/19/2020,246684,84958,10025,12.3404953
3/20/2020,277565,87403,11520,12.51844465
3/21/2020,309680,91650,13243,11.57026282
3/22/2020,344821,97867,14927,11.34752002
3/23/2020,387488,98355,16885,12.37366634
3/24/2020,428574,107974,19195,10.60316707
3/25/2020,479663,113753,22019,11.92069514
3/26/2020,542525,122125,25059,13.10545112
3/27/2020,607435,130910,28544,11.9644256
3/28/2020,677100,139421,32380,11.46871682
3/29/2020,734000,148877,35857,8.403485453
3/30/2020,799279,164213,39938,8.89359673
3/31/2020,876098,177803,44670,9.611036947
4/1/2020,958232,193075,50684,9.374978598
4/2/2020,1041001,210218,56576,8.637678558
4/3/2020,1125038,225640,62754,8.072710785
4/4/2020,1183686,246052,68734,5.212979473
4/5/2020,1254430,259888,73977,5.976585006
4/6/2020,1328175,276597,79912,5.878765655
4/7/2020,1397298,299859,88222,5.204359365
4/8/2020,1480584,328741,95052,5.960503772
4/9/2020,1567107,353995,102921,5.8438427
4/10/2020,1652458,375733,110337,5.446405383
4/11/2020,1726530,401983,116623,4.482534503
4/12/2020,1845644,421366,122563,6.899040272
4/13/2020,1916747,448623,128582,3.852476426
4/14/2020,2000549,473697,135687,4.372095013
4/15/2020,2078439,510236,144231,3.893431253
4/16/2020,2173538,541119,151650,4.575501133
4/17/2020,2261370,567303,160151,4.040969148
4/18/2020,2338185,591169,166353,3.396834662
4/19/2020,2414729,622952,171704,3.273650289
4/20/2020,2490514,645130,177752,3.13844742
4/21/2020,2566227,679932,185154,3.040055185
4/22/2020,2648033,710017,192181,3.187792818
4/23/2020,2731155,738747,199179,3.139009219
4/24/2020,2814873,788776,206093,3.06529655
4/25/2020,2897911,816531,211977,2.949973231
4/26/2020,2968944,845343,216230,2.451179488
4/27/2020,3040027,873227,221160,2.394218281
4/28/2020,3115584,906439,227995,2.485405557
4/29/2020,3192956,948516,234942,2.483386742
4/30/2020,3276146,1013632,240996,2.605422687
5/1/2020,3364995,1051789,246467,2.711997573
5/2/2020,3444135,1092440,252311,2.35186085
5/3/2020,3518428,1124973,256158,2.157087338
5/4/2020,3595783,1159059,260710,2.198567087
5/5/2020,3675490,1195532,266837,2.216679928
5/6/2020,3766108,1241651,273722,2.465467189
5/7/2020,3854841,1281176,279419,2.356092815
5/8/2020,3945497,1317589,285347,2.351744209
5/9/2020,4029754,1371030,289933,2.135523104
5/10/2020,4105019,1404839,293974,1.867731876
5/11/2020,4181394,1451724,297890,1.86052732
5/12/2020,4266218,1488766,303770,2.028605771
5/13/2020,4350557,1544638,309256,1.976903196
5/14/2020,4445875,1584349,314838,2.19093785
5/15/2020,4542086,1632452,320474,2.164050946
5/16/2020,4636258,1688863,325024,2.073320496
5/17/2020,4714262,1729871,328598,1.68247755
5/18/2020,4803432,1782787,332747,1.891494363
5/19/2020,4900019,1834839,337874,2.010791451
5/20/2020,5005031,1893809,343267,2.143093731
5/21/2020,5110912,1945029,348233,2.115491393
5/22/2020,5218546,2053576,353920,2.10596465
5/23/2020,5322661,2108410,358297,1.995095952
5/24/2020,5415728,2163937,361786,1.748505118
5/25/2020,5503706,2227666,363320,1.624490743
5/26/2020,5596621,2282818,367976,1.688226079
5/27/2020,5699263,2346145,373369,1.833999479
5/28/2020,5819122,2413008,378414,2.103061396
5/29/2020,5940705,2490273,383574,2.089370183
5/30/2020,6075668,2560723,387860,2.27183474
5/31/2020,6178047,2637107,391006,1.685065741
